Name;Lon;Lat;Type;Comment
AMBR;167.92;-16.26;network;green
ANIW;169.60;-19.24;network;green
BIGB;166.82;-15.16;network;green
DILB;169.02;-18.82;network;green
EFAT;168.56;-17.78;network;green
EKAR;167.06;-15.00;network;green
EMAE;168.38;-17.05;network;green
FTNV;170.23;-19.52;network;green
HOGB;167.10;-15.13;network;green
HUNT;172.09;-22.40;network;green
KOUC;164.29;-20.56;network;green
KOUM;164.28;-20.56;network;green
LFOU;167.24;-20.77;network;green
LISB;166.77;-15.63;network;green
LMBU;167.39;-16.17;network;green
LPIL;167.26;-20.92;network;green
LVMP;167.24;-16.16;network;green
MALO;167.25;-15.72;network;green
MARE;168.04;-21.48;network;green
MAWO;168.08;-15.08;network;green
MGAL;168.20;-17.64;network;green
MLKL;167.78;-16.45;network;green
MOTA;167.72;-13.67;network;green
MTTW;171.36;-22.34;network;green
NAMU;168.36;-16.83;network;green
NEPI;168.16;-16.60;network;green
NOUM;166.41;-22.27;network;green
NSUP;167.40;-16.07;network;green
NWST;166.54;-14.85;network;green
OUVA;166.57;-20.64;network;green
PNCT;168.16;-15.48;network;green
PWDC;167.01883;-15.31;network;green
RATA;167.09;-15.60;network;green
RATU;167.19;-15.62;network;green
RNSR;167.56;-16.21;network;green
SHRK;167.14;-15.26;network;green
SNTO;167.20;-15.45;network;green
SURP;163.09;-18.48;network;green
SUVA;178.43;-18.15;network;green
TANA;169.25;-19.53;network;green
TASM;166.90;-15.61;network;green
TGOA;168.53;-16.92;network;green
TIND;166.42;-22.23;network;green
TNMR;167.17;-16.01;network;green
TORS;166.64;-13.33;network;green
TSRK;166.78;-15.59;network;green
ULEI;168.30;-16.33;network;green
UTAN;168.32;-17.43;network;green
VILA;168.32;-17.73;network;green
VMVS;167.38;-16.23;network;green
VNKR;166.84;-11.69;network;green
VOTL;168.28;-16.80;network;green
WALI;168.18;-15.94;network;green
WALP;168.95;-22.60;network;green
WLRN;167.37;-15.99;network;green
WUSI;166.66;-15.36;network;green
YTUM;169.77;-20.14;network;green
AOBA;167.68018551;-15.41869524;network;green
AVNA;167.09180083;-15.64301133;perm;green
MAEW;168.05758686;-14.96807128;perm;green
VATU;168.15610065;-15.48257894;perm;green
SANC;167.20320255;-15.44713817;perm;green
SSAN;166.83182425;-15.64583114;perm;green
TGWS;166.66084794;-15.35691985;perm;green
ESPI;167.19191837;-15.97366823;perm;green
DVIL;168.17814640;-17.73129575;semiperm;green
VILA;168.31949885;-17.72888907;perm;green
VANU;168.31515156;-17.74397528;perm;green
TG_Sabine;166.14;-15.95;TG;black
TG_Wusi;166.57;-15.37 ;TG;black
Ambrym;168.31;-16.33;volc;red
SWBY;167.45;-16.48;perm;orange